Date,Year,Week,Address_Block,Trap,Trap_type,Month,WNV_Present,Species,Lat,Lon,Mosquito_number
2007-05-29 00:05:00,2007,21,119XX S PEORIA ST,T091,GRAVID,5,False,CULEX RESTUANS,41.67703235,-87.64446508,1
2007-05-29 00:05:00,2007,21,11XX W CHICAGO AVE,T049,GRAVID,5,False,CULEX RESTUANS,41.89613109,-87.65676212,1
2007-05-29 00:05:00,2007,21,11XX W ROOSEVELT RD,T048,GRAVID,5,False,CULEX RESTUANS,41.86691518,-87.65491884,2
2007-05-29 00:05:00,2007,21,15XX N LONG AVE,T153,GRAVID,5,False,CULEX RESTUANS,41.90933996,-87.76107828,1
2007-05-29 00:05:00,2007,21,15XX W WEBSTER AVE,T045,GRAVID,5,False,CULEX RESTUANS,41.92170457,-87.66696324,2
2007-05-29 00:05:00,2007,21,17XX W 95TH ST,T094,GRAVID,5,False,CULEX RESTUANS,41.7212875,-87.6652357,3
2007-05-29 00:05:00,2007,21,22XX N CANNON DR,T054,GRAVID,5,False,CULEX RESTUANS,41.92251238,-87.63237767,3
2007-05-29 00:05:00,2007,21,22XX W 113TH ST,T087,GRAVID,5,False,CULEX RESTUANS,41.68819285,-87.67687311,1
2007-05-29 00:05:00,2007,21,25XX W GRAND AVE,T046,CDC,5,False,CULEX RESTUANS,41.89221998,-87.69169773,1
2007-05-29 00:05:00,2007,21,2XX W 89TH ST,T096,CDC,5,False,CULEX PIPIENS,41.73242806,-87.63105648,1
2007-05-29 00:05:00,2007,21,2XX W 89TH ST,T096,CDC,5,False,CULEX RESTUANS,41.73242806,-87.63105648,5
2007-05-29 00:05:00,2007,21,41XX N OAK PARK AVE,T002,GRAVID,5,False,CULEX RESTUANS,41.95629886,-87.79751745,1
2007-05-29 00:05:00,2007,21,5XX N STREETER DR,T129,GRAVID,5,False,CULEX RESTUANS,41.89151302,-87.60978482,2
2007-05-29 00:05:00,2007,21,62XX N MANDELL AVE,T007,CDC,5,False,CULEX RESTUANS,41.99549242,-87.76960895,1
2007-05-29 00:05:00,2007,21,79XX W FOSTER AVE,T015,GRAVID,5,False,CULEX RESTUANS,41.97418287,-87.82524093,4
2007-05-29 00:05:00,2007,21,89XX S CARPENTER ST,T159,GRAVID,5,False,CULEX RESTUANS,41.73144686,-87.64972225,1
2007-06-05 00:06:00,2007,22,104XX S VINCENNES AVE,T089,GRAVID,6,False,CULEX RESTUANS,41.70433842,-87.65708427,1
2007-06-05 00:06:00,2007,22,119XX S ASHLAND AVE,T090,GRAVID,6,False,CULEX RESTUANS,41.67688732,-87.66122193,7
2007-06-05 00:06:00,2007,22,11XX W CHICAGO AVE,T049,GRAVID,6,False,CULEX RESTUANS,41.89613109,-87.65676212,2
2007-06-05 00:06:00,2007,22,11XX W ROOSEVELT RD,T048,GRAVID,6,False,CULEX PIPIENS,41.86691518,-87.65491884,2
2007-06-05 00:06:00,2007,22,11XX W ROOSEVELT RD,T048,GRAVID,6,False,CULEX RESTUANS,41.86691518,-87.65491884,1
2007-06-05 00:06:00,2007,22,14XX N HUMBOLDT DR,T033,GRAVID,6,False,CULEX RESTUANS,41.90728487,-87.70139464,3
2007-06-05 00:06:00,2007,22,15XX N LONG AVE,T153,GRAVID,6,False,CULEX RESTUANS,41.90933996,-87.76107828,3
2007-06-05 00:06:00,2007,22,15XX W WEBSTER AVE,T045,GRAVID,6,False,CULEX PIPIENS,41.92170457,-87.66696324,1
2007-06-05 00:06:00,2007,22,15XX W WEBSTER AVE,T045,GRAVID,6,False,CULEX RESTUANS,41.92170457,-87.66696324,2
2007-06-05 00:06:00,2007,22,18XX W FARWELL AVE,T150,GRAVID,6,False,CULEX RESTUANS,42.00659786,-87.67786621,2
2007-06-05 00:06:00,2007,22,21XX N LAWLER AVE,T154,GRAVID,6,False,CULEX RESTUANS,41.92041216,-87.75249947,1
